Altium Designer Pick and Place Locations
C:\Subversion\Board\NUCLEO-G474RE\MB1367-Nucleo64_for_STM32G4_Rockfish_family\Trunk\02-Manufacturing\mb1367D_PCB\Assembly\mb1367D_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       07/12/25
Time:       20:52
Revision:   Not in VersionControl
Variant:    G474RE
Units used: mm

Designator Comment        Layer       Footprint                                                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                       
HW105      ""             TopLayer    LOGO_ROHS                                                 -865.8550    -823.8600    90       "ROHS logo footprint for PCB"                                                                                                                                                                     
HW103      ""             TopLayer    LOGO_NUCLEO                                               -865.8550    -823.8600    0        "NUCLEO logo footprint for PCB"                                                                                                                                                                   
SB41       ""             BottomLayer SOLDER-BRIDGE_R0603-0R                                    23.1750      36.4750      270      "Solder Bridge ON"                                                                                                                                                                                
SB40       ""             BottomLayer SOLDER-BRIDGE_R0603-0R                                    17.6750      36.4750      270      "Solder Bridge ON"                                                                                                                                                                                
U13        ""             TopLayer    ICC_LQFP64_10X10_P050_SOCKET_YAMAICHI_IC149-064-069-B5_NM 32.4600      24.0900      0        "STM32G474, LQFP64 package,  3D IC footprint with 2D socket footprint."                                                                                                                           
C51        ""             TopLayer    C0603                                                     48.9200      21.1400      90       Capacitor,100pF,50V,X7R,10%,0603                                                                                                                                                                  
C46        ""             TopLayer    C0603                                                     46.6200      26.4150      0        "Capacitor, MLCC, 10uF, 10V, X5R, 10%, 0603, T=0.8mm"                                                                                                                                             
U14        ""             TopLayer    ICC_SOT23-5L_H1P45                                        46.3700      20.7400      0        "Programmable voltage reference with 0.4% voltage precision"                                                                                                                                      
JP7        ""             TopLayer    CON_SAMTEC_TSW-102-07-G-S                                 18.2200      23.1200      90       "Header, 2x1, 2,54mm, VR, TH, Height 5.84mm/2.54mm"                                                                                                                                               
JP3        "Shunt Fitted" TopLayer    CON_SAMTEC_TSW-102-07-G-S                                 10.8700      49.4900      270      "Header, 2x1, 2,54mm, VR, TH, Height 5.84mm/2.54mm - Shunt Fitted by default"                                                                                                                     
JP8        ""             TopLayer    CON_SAMTEC_TSW-103-07-F-S                                 42.4450      41.2350      180      "Header, 3x1, 2,54mm, VR, TH, Height 5.84mm/2.54mm - Shunt Fitted 1-2 by default"                                                                                                                 
HW107      ""             TopLayer    LOGO_MAIN_1                                               -865.8550    -823.8600    0        "Hand ESD logo footprint for PCB"                                                                                                                                                                 
HW104      ""             TopLayer    LOGO_CE                                                   -865.8550    -823.8600    0        "CE logo footprint for PCB"                                                                                                                                                                       
HW106      ""             TopLayer    LOGO_ST                                                   -865.8550    -823.8600    0        "STMicroelectronics logo footprint for PCB"                                                                                                                                                       
C16        Capacitor      TopLayer    C0402                                                     36.2250      68.1750      180      "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C14        Capacitor      TopLayer    C0402                                                     36.2250      69.4250      180      "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C27        Capacitor      TopLayer    C0402                                                     35.4250      61.8750      90       "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C9         Capacitor      TopLayer    C0402                                                     33.1000      74.1500      180      "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C13        Capacitor      TopLayer    C0402                                                     23.1750      70.0750      0        "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C17        Capacitor      TopLayer    C0402                                                     23.1750      67.2250      0        "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C8         Capacitor      TopLayer    C0402                                                     28.9000      74.9250      270      "Capacitor, MLCC, 100nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                                                                                                                         
C4         ""             TopLayer    C0603                                                     31.0750      75.2500      270      "Capacitor, MLCC, 2.2uF, 10V, X5R, 10%, 0603, T=0,8mm"                                                                                                                                            
C12        ""             TopLayer    C1206_H1P15                                               40.2750      69.6500      180      "Capacitor, MLCC, 2.2uF, 16V, X7R, 10%, 1206, T=1,15mm"                                                                                                                                           
C50        ""             TopLayer    C0603                                                     46.6200      24.9650      0        "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0603, T=0,8mm"                                                                                                                                            
